Station_id,Station_number,City,Province,Observed_Datetime,Observed_date,Air_Pressure,DewPoint_Temp,Solar_Radiation,Temperature,Humidity,WindSpeed,WindDirection,WindGust
178,A333,São Gonçalo,RJ,2009-01-16 23:00,2009-01-16,0,0,0.0,0,0,0,0,0
178,A333,São Gonçalo,RJ,2011-09-08 17:00,2011-09-08,0,0,0.0,0,0,0,0,0
178,A333,São Gonçalo,RJ,2012-06-30 17:00,2012-06-30,985.7,16.6,2711.1,29.9,45,3,108,8.2
178,A333,São Gonçalo,RJ,2015-04-24 2:00,2015-04-24,986.9,20.6,0.0,21.8,93,0.1,72,1.1
178,A333,São Gonçalo,RJ,2008-11-20 22:00,2008-11-20,980.9,23,0.0,26.2,82,0.5,101,1.7
178,A333,São Gonçalo,RJ,2016-01-30 21:00,2016-01-30,984.6,19.4,130.3,27.4,62,0,120,4.5
178,A333,São Gonçalo,RJ,2011-08-27 13:00,2011-08-27,990.8,15.9,2850.2,28.5,46,3.1,114,7.4
178,A333,São Gonçalo,RJ,2010-01-13 6:00,2010-01-13,985.3,20.7,0.0,22.3,91,0.8,152,1.5
178,A333,São Gonçalo,RJ,2010-07-14 3:00,2010-07-14,986.2,19.5,0.0,24.8,73,2.7,109,5.6
178,A333,São Gonçalo,RJ,2014-12-09 17:00,2014-12-09,981.6,12.8,2761.9,36.2,25,2.7,124,7.3
178,A333,São Gonçalo,RJ,2015-06-26 23:00,2015-06-26,990,14,0.0,24.5,52,0,215,5.1
178,A333,São Gonçalo,RJ,2013-08-02 23:00,2013-08-02,988.1,16.6,0.0,25.9,57,2.7,190,6.5
178,A333,São Gonçalo,RJ,2014-08-14 19:00,2014-08-14,985.5,10,1003.7,33.2,24,0.4,149,5.5
178,A333,São Gonçalo,RJ,2009-01-14 17:00,2009-01-14,0,0,0.0,0,0,0,0,0
178,A333,São Gonçalo,RJ,2010-05-10 7:00,2010-05-10,984,19.5,0.0,20.3,95,0,298,0.9
178,A333,São Gonçalo,RJ,2008-04-24 11:00,2008-04-24,985.5,22.3,1134.7,24,90,1.3,103,2.3
178,A333,São Gonçalo,RJ,2015-08-29 18:00,2015-08-29,985.7,7.6,2248.1,35.1,18,2.8,105,8.5
178,A333,São Gonçalo,RJ,2015-06-29 0:00,2015-06-29,988.5,16.8,0.0,28.1,50,0.9,188,5.4
178,A333,São Gonçalo,RJ,2010-09-18 10:00,2010-09-18,988.2,17.1,681.2,24.2,65,1.4,84,3.2
178,A333,São Gonçalo,RJ,2013-11-12 16:00,2013-11-12,984.3,15.1,2733.3,32.3,35,2.9,71,9.7
178,A333,São Gonçalo,RJ,2011-04-11 16:00,2011-04-11,983.2,19.2,3559.7,31.8,47,2.1,156,6.8
178,A333,São Gonçalo,RJ,2014-10-13 7:00,2014-10-13,988,16.2,0.0,22,69,0.8,117,4.5
178,A333,São Gonçalo,RJ,2009-11-11 22:00,2009-11-11,980,19.8,0.0,24.8,74,0.6,218,1.2
178,A333,São Gonçalo,RJ,2008-01-28 11:00,2008-01-28,985.8,22.8,768.0,24.7,89,0.1,185,1.3
178,A333,São Gonçalo,RJ,2016-05-25 22:00,2016-05-25,986.7,22.4,0.0,25,85,0,322,3.7
178,A333,São Gonçalo,RJ,2012-02-03 16:00,2012-02-03,983.7,15.7,3056.8,31.9,38,3.7,103,8.9
