wsid,City,Elevation,Latitude,Longitude,Station_number,Province,
178,SÃƒO GONÃ‡ALO,237,-6.835777,-38.311583,A333,RJ,
303,VITÃ“RIA,9,-20.271094,-40.306069,A612,ES,
304,SANTA TERESA,976,-19.988388,-40.579572,A613,ES,
305,LINHARES,38,-19.356923,-40.06868,A614,ES,
306,ALFREDO CHAVES,14,-20.636526,-40.741818,A615,ES,
307,SÃƒO MATEUS,29,-18.676198,-39.864051,A616,ES,
308,ALEGRE,129,-20.750412,-41.488852,A617,ES,
309,PRES. KENNEDY,69,-21.100805,-41.039395,A622,ES,
310,NOVA VENECIA,156,-18.695265,-40.390572,A623,ES,
311,AFONSO CLAUDIO,507,-20.104194,-41.106861,A657,ES,
312,BARBACENA,1169,-21.228373,-43.767703,A502,MG,
313,ARAXÃ,1018,-19.605696,-46.949617,A505,MG,
314,MONTES CLAROS,646,-16.686316,-43.843763,A506,MG,
315,UBERLÃ‚NDIA,875,-18.917072,-48.255657,A507,MG,
316,ALMENARA,189,-16.166773,-40.687756,A508,MG,
317,MONTE VERDE,1545,-22.861604,-46.043365,A509,MG,
318,VIÃ‡OSA,698,-20.762607,-42.864013,A510,MG,
319,TIMÃ“TEO,493,-19.573824,-42.622413,A511,MG,
320,ITUIUTABA,540,-18.952907,-49.525072,A512,MG,
321,OURO BRANCO,1048,-20.556592,-43.75622,A513,MG,
322,S.J.DEL REI,930,-21.106502,-44.250928,A514,MG,
323,VARGINHA,950,-21.566513,-45.4043,A515,MG,
324,PASSOS,782,-20.745237,-46.633916,A516,MG,
325,MURIAÃ‰,283,-21.104867,-42.375904,A517,MG,
326,JUÃZ DE FORA,937,-21.769965,-43.364329,A518,MG,
327,CAMPINA VERDE,559,-19.53921,-49.518133,A519,MG,
328,CONC. DAS ALAGOAS,573,-19.98586,-48.151574,A520,MG,
329,BELO HOR. (PAMPULHA),854,-19.883945,-43.969397,A521,MG,
330,SERRA DOS AIMORES,212,-17.798799,-40.249933,A522,MG,
331,PATROCÃNIO,978,-18.996684,-46.985935,A523,MG,
332,FORMIGA,878,-20.45493,-45.453825,A524,MG,
333,SACRAMENTO,913,-19.875271,-47.434102,A525,MG,
334,MONTALVANIA,520,-14.408228,-44.404123,A526,MG,
335,TEÃ“FILO OTONI,467,-17.89284,-41.515423,A527,MG,
336,TRÃŠS MARIAS,931,-18.200855,-45.459836,A528,MG,
337,PASSA QUATRO,1017,-22.395799,-44.961909,A529,MG,
338,CALDAS,1077,-21.918066,-46.382996,A530,MG,
339,MARIA DA FÃ‰,1281,-22.314567,-45.373049,A531,MG,
340,GOVERNADOR VALADARES,198,-18.830354,-41.977007,A532,MG,
341,GUANHÃƒES,853,-18.786842,-42.942921,A533,MG,
342,AIMORES,288,-19.532768,-41.090801,A534,MG,
343,FLORESTAL,754,-19.885398,-44.416883,A535,MG,
344,DORES DO INDAIÃ,721,-19.481935,-45.593932,A536,MG,
345,DIAMANTINA,1359,-18.231052,-43.648269,A537,MG,
346,CURVELO,669,-18.747711,-44.453785,A538,MG,
347,MOCAMBINHO,454,-15.085958,-44.016036,A539,MG,
348,MANTENA,255,-18.78062,-40.986505,A540,MG,
349,CAPELINHA,932,-17.705504,-42.389256,A541,MG,
350,UNAI,641,-16.554101,-46.881935,A542,MG,
351,ESPINOSA,565,-14.912284,-42.808473,A543,MG,
352,BURITIS,894,-15.524262,-46.435536,A544,MG,
353,PIRAPORA,505,-17.258064,-44.8356,A545,MG,
354,GUARDA-MOR,997,-17.561349,-47.199251,A546,MG,
355,SÃƒO ROMÃƒO,490,-16.362747,-45.123801,A547,MG,
356,CHAPADA GAÃšCHA,873,-15.300159,-45.617431,A548,MG,
357,ÃGUAS VERMELHAS,754,-15.751536,-41.457787,A549,MG,
358,ITAOBIM,272,-16.575667,-41.485588,A550,MG,
359,RIO PARDO DE MINAS,850,-15.723139,-42.43575,A551,MG,
360,SALINAS,487,-16.160327,-42.310266,A552,MG,
361,JOÃƒO PINHEIRO,877,-17.78477,-46.119394,A553,MG,
362,CARATINGA,609,-19.735757,-42.137146,A554,MG,
363,IBIRITÃˆ (ROLA MOÃ‡A),1199,-20.031457,-44.011249,A555,MG,
364,MANHUAÃ‡U,819,-20.263378,-42.182817,A556,MG,
365,CORONEL PACHECO,411,-21.546728,-43.261029,A557,MG,
366,JANUARIA,468,-15.448089,-44.366313,A559,MG,
367,POMPEU,705,-19.239555,-45.008187,A560,MG,
368,SÃƒO SEBASTIAO DO PARAÃSO,845,-20.909892,-47.114259,A561,MG,
369,SETE LAGOAS,719,-19.455288,-44.17338,A569,MG,
370,BELO HORIZONTE - CERCADINHO,1200,-19.980034,-43.958651,F501,MG,
371,ECOLOGIA AGRÃCOLA,35,-22.757868,-43.684843,A601,RJ,
372,MARAMBAIA,9,-23.050334,-43.595685,A602,RJ,
373,XEREM,24,-22.589806,-43.282233,A603,RJ,
374,CAMBUCÃ,60,-21.587729,-41.958327,A604,RJ,
375,ARRAIAL DO CABO,3,-22.975468,-42.02145,A606,RJ,
376,CAMPOS,7,-22.041647,-41.051871,A620,RJ,
377,MACAÃ‰,25,-22.376318,-41.812053,A608,RJ,
378,RESENDE,439,-22.450924,-44.444786,A609,RJ,
379,PICO DO COUTO,1758,-22.464889,-43.291505,A610,RJ,
380,VALENÃ‡A,367,-22.358094,-43.695656,A611,RJ,
381,TERESÃ“POLIS,991,-22.448922,-42.987146,A618,RJ,
382,PARATÃ,3,-23.22354,-44.726863,A619,RJ,
383,SÃƒO TOMÃ‰,7,-22.041647,-41.051871,A620,RJ,
384,VILA MILITAR,30,-22.861322,-43.41141,A621,RJ,
385,NOVA FRIBURGO,1065,-22.334839,-42.676932,A624,RJ,
386,TRÃŠS RIOS ,305,-22.098391,-43.208574,A625,RJ,
387,RIO CLARO,340,-13.453981,-56.677323,A903,RJ,
388,FORTE DE COPACABANA,26,-22.988286,-43.190436,A652,RJ,
389,JACAREPAGUA,20,-22.939883,-43.402897,A636,RJ,
390,SILVA JARDIM,19,-22.645911,-42.415775,A659,RJ,
391,SAQUAREMA,26,-22.871321,-42.609219,A667,RJ,
392,SAO PAULO,786,-23.496294,-46.620088,A701,SP,
393,BAURU,636,-22.358052,-49.028877,A705,SP,
394,CAMPOS DO JORDÃƒO,1663,-22.750231,-45.603836,A706,SP,
395,PRESIDENTE PRUDENTE,432,-22.119867,-51.408637,A707,SP,
396,FRANCA,1003,-20.584475,-47.382549,A708,SP,
397,SÃƒO CARLOS,859,-21.980353,-47.883927,A711,SP,
398,IGUAPE,3,-24.671654,-47.545896,A712,SP,
399,SOROCABA,609,-23.426035,-47.585552,A713,SP,
400,ITAPEVA,743,-23.981918,-48.885818,A714,SP,
401,S. MIG. ARCANJO,676,-23.852022,-48.164817,A715,SP,
402,OURINHOS,443,-22.949,-49.894546,A716,SP,
403,RANCHARIA,399,-22.372832,-50.97471,A718,SP,
404,AVARÃ‰,776,-23.101749,-48.940997,A725,SP,
405,PIRACICABA,566,-22.703132,-47.623317,A726,SP,
406,LINS,461,-21.666045,-49.734854,A727,SP,
407,TAUBATÃ‰,582,-23.041668,-45.520841,A728,SP,
408,VOTUPORANGA,510,-20.403221,-49.966031,A729,SP,
409,JALES,460,-20.165025,-50.595134,A733,SP,
410,VALPARAISO,382,-21.319138,-50.930158,A734,SP,
411,JOSÃ‰ BONIFÃCIO,408,-21.085675,-49.920388,A735,SP,
412,ARIRANHA,525,-21.132937,-48.840426,A736,SP,
413,IBITINGA,497,-21.855567,-48.799717,A737,SP,
414,CASA BRANCA,734,-21.78056,-47.07528,A738,SP,
415,ITAPIRA,635,-22.415062,-46.805292,A739,SP,
416,S LUIS DO PARAITINGA,862,-23.228362,-45.417055,A740,SP,
417,BARRA BONITA,534,-22.471205,-48.557573,A741,SP,
418,MOELA,0,0,0,ZZZ3,SP,
419,BARRA DO TURVO,660,-24.962819,-48.416379,A746,SP,
420,PRADÃ“POLIS,540,-21.338432,-48.114007,A747,SP,
421,BARRETOS,534,-20.559175,-48.544997,A748,SP,
